Source,Target,Type
502,503,Directed
504,471,Directed
505,475,Directed
506,498,Directed
507,503,Directed
508,475,Directed
509,475,Directed
510,511,Directed
512,475,Directed
513,490,Directed
514,493,Directed
515,486,Directed
516,475,Directed
517,471,Directed
518,511,Directed
519,520,Directed
521,471,Directed
522,496,Directed
523,479,Directed
524,486,Directed
525,484,Directed
526,493,Directed
527,498,Directed
528,529,Directed
530,484,Directed
531,486,Directed
532,493,Directed
533,286,Directed
533,534,Directed
535,8,Directed
535,270,Directed
536,3,Directed
536,148,Directed
537,8,Directed
537,538,Directed
539,8,Directed
539,540,Directed
541,281,Directed
541,542,Directed
543,281,Directed
543,282,Directed
544,8,Directed
544,289,Directed
545,286,Directed
545,546,Directed
547,8,Directed
547,548,Directed
549,281,Directed
549,550,Directed
551,8,Directed
551,274,Directed
552,281,Directed
552,553,Directed
554,3,Directed
554,106,Directed
555,8,Directed
555,556,Directed
557,286,Directed
557,287,Directed
558,559,Directed
560,286,Directed
560,561,Directed
562,3,Directed
562,563,Directed
564,281,Directed
564,565,Directed
566,281,Directed
566,567,Directed
568,8,Directed
568,291,Directed
569,286,Directed
569,570,Directed
571,286,Directed
571,572,Directed
573,281,Directed
573,574,Directed
575,286,Directed
575,576,Directed
577,8,Directed
577,578,Directed
579,3,Directed
579,307,Directed
580,8,Directed
580,279,Directed
581,8,Directed
581,277,Directed
582,286,Directed
582,583,Directed
584,286,Directed
584,585,Directed
586,3,Directed
586,128,Directed
587,286,Directed
587,588,Directed
589,3,Directed
589,100,Directed
590,8,Directed
590,591,Directed
592,8,Directed
592,272,Directed
593,8,Directed
593,10,Directed
594,8,Directed
594,595,Directed
596,8,Directed
596,597,Directed
598,8,Directed
598,599,Directed
600,3,Directed
600,364,Directed
601,286,Directed
601,602,Directed
603,8,Directed
603,604,Directed
603,605,Directed
603,389,Directed
350,3,Directed
350,298,Directed
350,298,Directed
306,3,Directed
306,106,Directed
306,106,Directed
339,3,Directed
339,334,Directed
339,334,Directed
392,3,Directed
392,51,Directed
392,51,Directed
606,3,Directed
606,370,Directed
606,607,Directed
606,603,Directed
606,608,Directed
609,610,Directed
611,612,Directed
613,3,Directed
613,607,Directed
613,603,Directed
613,608,Directed
613,370,Directed
614,3,Directed
614,370,Directed
614,608,Directed
614,603,Directed
614,607,Directed
615,616,Directed
617,618,Directed
619,620,Directed
621,3,Directed
621,607,Directed
621,608,Directed
621,603,Directed
621,370,Directed
622,3,Directed
622,608,Directed
622,370,Directed
622,607,Directed
622,603,Directed
623,3,Directed
623,608,Directed
623,370,Directed
623,607,Directed
623,603,Directed
624,3,Directed
624,607,Directed
624,608,Directed
624,370,Directed
624,603,Directed
625,3,Directed
625,603,Directed
625,608,Directed
625,607,Directed
625,370,Directed
626,3,Directed
626,370,Directed
626,603,Directed
626,607,Directed
626,608,Directed
627,3,Directed
627,607,Directed
627,603,Directed
627,370,Directed
627,608,Directed
628,612,Directed
629,630,Directed
631,3,Directed
631,370,Directed
631,608,Directed
631,607,Directed
631,603,Directed
632,3,Directed
632,608,Directed
632,370,Directed
632,603,Directed
632,607,Directed
633,3,Directed
633,608,Directed
633,370,Directed
633,607,Directed
633,603,Directed
634,635,Directed
636,612,Directed
637,3,Directed
637,608,Directed
637,603,Directed
637,370,Directed
637,607,Directed
638,3,Directed
638,608,Directed
638,603,Directed
638,607,Directed
638,370,Directed
639,3,Directed
639,607,Directed
639,603,Directed
639,608,Directed
639,370,Directed
640,3,Directed
640,608,Directed
640,607,Directed
640,603,Directed
640,370,Directed
641,642,Directed
643,3,Directed
643,603,Directed
643,370,Directed
643,608,Directed
643,607,Directed
644,620,Directed
645,3,Directed
645,608,Directed
645,603,Directed
645,607,Directed
645,370,Directed
646,3,Directed
646,608,Directed
646,370,Directed
646,607,Directed
646,603,Directed
647,648,Directed
649,3,Directed
649,607,Directed
649,370,Directed
649,608,Directed
649,603,Directed
650,3,Directed
650,603,Directed
650,607,Directed
650,370,Directed
650,608,Directed
651,652,Directed
653,654,Directed
655,3,Directed
655,607,Directed
655,370,Directed
655,603,Directed
655,608,Directed
656,612,Directed
657,3,Directed
657,608,Directed
657,603,Directed
657,607,Directed
657,370,Directed
658,3,Directed
658,325,Directed
658,284,Directed
659,3,Directed
659,375,Directed
659,284,Directed
660,3,Directed
660,321,Directed
660,284,Directed
661,3,Directed
661,128,Directed
661,366,Directed
661,128,Directed
662,3,Directed
662,433,Directed
662,284,Directed
663,3,Directed
663,284,Directed
663,355,Directed
664,3,Directed
664,284,Directed
664,434,Directed
665,3,Directed
665,284,Directed
665,387,Directed
666,3,Directed
666,284,Directed
666,396,Directed
667,3,Directed
667,382,Directed
667,386,Directed
667,382,Directed
668,3,Directed
668,284,Directed
668,418,Directed
669,3,Directed
669,284,Directed
669,388,Directed
670,3,Directed
670,284,Directed
670,406,Directed
671,3,Directed
671,349,Directed
671,298,Directed
671,298,Directed
672,3,Directed
672,106,Directed
672,304,Directed
672,106,Directed
673,3,Directed
673,399,Directed
673,284,Directed
674,3,Directed
674,284,Directed
674,360,Directed
675,3,Directed
675,394,Directed
675,51,Directed
675,51,Directed
676,3,Directed
676,148,Directed
676,330,Directed
676,148,Directed
677,3,Directed
677,311,Directed
677,310,Directed
677,310,Directed
678,3,Directed
678,417,Directed
678,284,Directed
679,3,Directed
679,284,Directed
679,402,Directed
680,3,Directed
680,432,Directed
680,284,Directed
681,3,Directed
681,358,Directed
681,284,Directed
682,3,Directed
682,345,Directed
682,284,Directed
683,3,Directed
683,419,Directed
683,284,Directed
684,3,Directed
684,284,Directed
684,308,Directed
685,3,Directed
685,338,Directed
685,334,Directed
685,334,Directed
686,3,Directed
686,340,Directed
686,284,Directed
687,3,Directed
687,284,Directed
687,343,Directed
688,3,Directed
688,415,Directed
688,284,Directed
689,3,Directed
689,404,Directed
689,364,Directed
689,364,Directed
690,3,Directed
690,284,Directed
690,413,Directed
691,3,Directed
691,380,Directed
691,284,Directed
692,3,Directed
692,100,Directed
692,412,Directed
692,100,Directed
693,3,Directed
693,284,Directed
693,395,Directed
694,695,Directed
696,697,Directed
698,699,Directed
700,699,Directed
445,695,Directed
697,701,Directed
702,694,Directed
703,699,Directed
439,695,Directed
469,702,Directed
529,701,Directed
441,695,Directed
704,694,Directed
705,699,Directed
706,697,Directed
496,694,Directed
707,698,Directed
708,709,Directed
710,708,Directed
701,704,Directed
711,712,Directed
713,697,Directed
503,702,Directed
714,702,Directed
715,708,Directed
695,708,Directed
716,697,Directed
717,701,Directed
718,700,Directed
719,712,Directed
720,699,Directed
721,701,Directed
498,701,Directed
477,701,Directed
450,695,Directed
457,695,Directed
722,699,Directed
723,722,Directed
712,699,Directed
724,699,Directed
511,702,Directed
699,697,Directed
725,701,Directed
490,694,Directed
479,702,Directed
726,700,Directed
493,701,Directed
520,702,Directed
484,701,Directed
473,701,Directed
467,702,Directed
437,695,Directed
486,701,Directed
471,701,Directed
727,3,Directed
727,298,Directed
728,3,Directed
728,334,Directed
729,3,Directed
729,106,Directed
730,3,Directed
730,51,Directed
731,3,Directed
731,149,Directed
732,3,Directed
732,52,Directed
311,3,Directed
311,310,Directed
311,149,Directed
733,3,Directed
733,126,Directed
412,3,Directed
412,100,Directed
412,101,Directed
734,8,Directed
734,9,Directed
735,736,Directed
330,3,Directed
330,148,Directed
330,149,Directed
737,3,Directed
737,50,Directed
304,3,Directed
304,106,Directed
304,107,Directed
738,3,Directed
738,127,Directed
320,8,Directed
320,316,Directed
338,3,Directed
338,334,Directed
338,52,Directed
366,3,Directed
366,128,Directed
366,127,Directed
386,3,Directed
386,382,Directed
386,101,Directed
394,3,Directed
394,51,Directed
394,52,Directed
739,3,Directed
739,107,Directed
740,3,Directed
740,102,Directed
741,3,Directed
741,101,Directed
349,3,Directed
349,298,Directed
349,107,Directed
404,3,Directed
404,364,Directed
404,127,Directed
742,3,Directed
742,108,Directed
743,719,Directed
744,699,Directed
745,720,Directed
746,711,Directed
747,704,Directed
748,724,Directed
749,705,Directed
750,703,Directed
751,707,Directed
752,719,Directed
753,719,Directed
754,719,Directed
755,711,Directed
756,720,Directed
757,705,Directed
758,711,Directed
759,720,Directed
760,720,Directed
761,704,Directed
762,711,Directed
763,719,Directed
764,703,Directed
765,711,Directed
766,712,Directed
767,720,Directed
768,699,Directed
769,705,Directed
770,720,Directed
771,720,Directed
772,703,Directed
773,720,Directed
774,775,Directed
776,777,Directed
778,779,Directed
780,781,Directed
782,783,Directed
784,785,Directed
786,787,Directed
788,789,Directed
790,791,Directed
792,793,Directed
794,795,Directed
796,797,Directed
798,799,Directed
800,801,Directed
802,803,Directed
804,805,Directed
806,807,Directed
808,809,Directed
810,811,Directed
812,813,Directed
814,815,Directed
816,817,Directed
818,819,Directed
820,821,Directed
822,823,Directed
824,825,Directed
826,827,Directed
828,829,Directed
830,831,Directed
832,3,Directed
832,323,Directed
832,323,Directed
832,833,Directed
832,834,Directed
832,381,Directed
835,3,Directed
835,416,Directed
835,836,Directed
835,323,Directed
835,837,Directed
838,3,Directed
838,839,Directed
838,323,Directed
838,427,Directed
838,836,Directed
840,3,Directed
840,323,Directed
840,369,Directed
840,381,Directed
840,841,Directed
842,3,Directed
842,323,Directed
842,323,Directed
842,843,Directed
842,844,Directed
845,3,Directed
845,846,Directed
845,323,Directed
845,369,Directed
845,847,Directed
848,3,Directed
848,849,Directed
848,323,Directed
848,389,Directed
848,850,Directed
851,3,Directed
851,380,Directed
851,852,Directed
853,3,Directed
853,427,Directed
853,854,Directed
853,427,Directed
853,855,Directed
853,369,Directed
856,3,Directed
856,857,Directed
856,431,Directed
858,3,Directed
858,323,Directed
858,859,Directed
858,381,Directed
858,353,Directed
858,860,Directed
861,3,Directed
861,427,Directed
861,862,Directed
861,427,Directed
861,323,Directed
861,863,Directed
861,863,Directed
864,3,Directed
864,865,Directed
864,353,Directed
864,866,Directed
864,866,Directed
864,427,Directed
867,3,Directed
867,323,Directed
867,389,Directed
867,427,Directed
867,833,Directed
867,868,Directed
869,3,Directed
869,397,Directed
869,870,Directed
871,3,Directed
871,323,Directed
871,872,Directed
871,353,Directed
871,850,Directed
873,3,Directed
873,844,Directed
873,389,Directed
873,323,Directed
873,852,Directed
873,427,Directed
874,3,Directed
874,841,Directed
874,427,Directed
874,323,Directed
874,875,Directed
876,3,Directed
876,327,Directed
876,877,Directed
878,3,Directed
878,380,Directed
878,847,Directed
879,3,Directed
879,870,Directed
879,400,Directed
880,3,Directed
880,881,Directed
880,327,Directed
882,3,Directed
882,870,Directed
882,424,Directed
882,855,Directed
882,323,Directed
883,3,Directed
883,884,Directed
883,416,Directed
883,323,Directed
883,389,Directed
883,885,Directed
886,3,Directed
886,855,Directed
886,400,Directed
887,3,Directed
887,855,Directed
887,425,Directed
888,3,Directed
888,885,Directed
888,380,Directed
889,3,Directed
889,431,Directed
889,846,Directed
890,3,Directed
890,377,Directed
890,836,Directed
891,3,Directed
891,397,Directed
891,847,Directed
892,3,Directed
892,860,Directed
892,327,Directed
893,3,Directed
893,836,Directed
893,380,Directed
894,3,Directed
894,870,Directed
894,352,Directed
894,857,Directed
894,381,Directed
894,323,Directed
894,857,Directed
895,3,Directed
895,323,Directed
895,896,Directed
895,369,Directed
895,857,Directed
897,3,Directed
897,369,Directed
897,323,Directed
897,868,Directed
897,381,Directed
897,898,Directed
899,3,Directed
899,900,Directed
899,323,Directed
899,870,Directed
899,416,Directed
901,3,Directed
901,902,Directed
901,868,Directed
901,416,Directed
901,323,Directed
903,3,Directed
903,904,Directed
903,323,Directed
903,905,Directed
903,323,Directed
906,3,Directed
906,852,Directed
906,431,Directed
907,3,Directed
907,881,Directed
